catid,lat,lng,Description,Name,PHOTOURL,Opening_Hours
TouristAttraction,103.85624,1.30069,"The Bras Basah.Bugis Precinct is the arts and heritage district in Singapore's civic centre, and home to museums and monuments.","Bras Basah.Bugis, Singapore Cultural District",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/bras-basah-bugis-carousel01-rect.jpg,updating
TouristAttraction,103.85168,1.29731,"An extension of the Singapore Art Museum, SAM at 8Q features contemporary art exhibitions and is home to a Moving Image Gallery, where film screenings are held.",SAM at 8Q & Singapore Art Museum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/8q-sam-carousel01-rect.jpg,updating
TouristAttraction,103.84554,1.28311,"Also known as Masjid Chulia, Jamae Mosque is one of Singapore’s oldest mosques and a prominent landmark in Chinatown since the 1820s.",Jamae Mosque (Masjid Chulia) Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/jamae-mosque-carousel01-rect.jpg,updating
TouristAttraction,103.8516,1.3029,This experimental art space housed in a tertiary arts college will help you deepen your understanding of contemporary art.,Institute of Contemporary Arts Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/institute-for-contemporary-art-carousel01-rect.jpg,updating
TouristAttraction,103.863137,1.289299,"This giant observation wheel offers 360-degree city views, a panorama that stretches to parts of Malaysia and Indonesia on a clear day.",Singapore Flyer,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/singapore-flyer-carousel01-rect-norender.jpg,updating
TouristAttraction,103.86081,1.283456,"A feat of engineering, an architectural statement and a sheer aesthetic triumph, Marina Bay Sands<sup>®</sup> has upped the ante for buildings in Singapore.",Marina Bay Sands®,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/marina-bay-sands-carousel01-rect.jpg,updating
TouristAttraction,103.87159,1.28063,This innovative facility not only supplies water to Singaporeans and helps alleviate floods but also doubles up as a place for family fun.,Marina Barrage,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/marina-barrage-carousel01-rect.jpg,updating
TouristAttraction,103.8152539,1.2762425,Lush jungle is broken up with a seriously creative twist in the fantastic form of the Henderson Waves bridge.,Henderson Waves Bridge,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/henderson-waves-carousel01-rect.jpg,updating
TouristAttraction,103.801944,1.265833,"With its rich biodiversity and war relics, nature lovers and history enthusiasts will find plenty to do at Labrador Nature Reserve.",Labrador Nature Reserve,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/labrador-nature-reserve-carousel01-rect.jpg,updating
TouristAttraction,103.856454,1.2802848,"Marina Bay represents all things modern and super-stylish, from trendy dining destinations to exciting leisure spots.",Marina Bay Singapore: Attractions & Things to do,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/marina-bay-area-carousel01-rect.jpg,updating
TouristAttraction,103.85899,1.2838785,"This iconic integrated resort boasts luxury accommodations, upscale shopping and an infinity pool with unparalleled views of the city.","Marina Bay Sands, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/marina-bay-sands-carousel01-rect.jpg,updating
TouristAttraction,103.96371,1.407866,"A world away from shopping malls and glitzy hotels, this natural wonder is one of Singapore’s richest eco-systems.",Chek Jawa,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/chek-jawa-carousel03-rect-norender.jpg,updating
TouristAttraction,103.854552,1.286862,"Half-fish and half-lion, the iconic Merlion resides at the waterfront Merlion Park.","Merlion Park, Singapore: Attractions & Things to Do",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/merlion-park-skypark-carousel01-rect.jpg,updating
TouristAttraction,103.86081,1.283456,"The Marina Bay Sands<sup>®</sup> SkyPark is a roof like no other, perched 200 metres in the air with an infinity pool and observation deck in the clouds.",Marina Bay Sands® SkyPark,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/marina-bay-sands-skypark-carousel01-rect.jpg,updating
